Gmt time,Open,High,Low,Close,Volume
03.02.2020 00:00:00.000,1.10893,1.10893,1.10361,1.10626,135208.54590000003
04.02.2020 00:00:00.000,1.10627,1.10643,1.10330,1.10449,116787.11140000002
05.02.2020 00:00:00.000,1.10450,1.10481,1.09939,1.10006,126061.1599
06.02.2020 00:00:00.000,1.10007,1.10142,1.09646,1.09810,94974.7153
07.02.2020 00:00:00.000,1.09811,1.09852,1.09422,1.09476,123290.4997
08.02.2020 00:00:00.000,1.09476,1.09476,1.09476,1.09476,0
09.02.2020 00:00:00.000,1.09479,1.09509,1.09431,1.09495,3482.0349
10.02.2020 00:00:00.000,1.09494,1.09578,1.09079,1.09104,102499.85399999999
11.02.2020 00:00:00.000,1.09104,1.09257,1.08914,1.09194,95181.87979999998
12.02.2020 00:00:00.000,1.09194,1.09258,1.08655,1.08758,368403.0964
13.02.2020 00:00:00.000,1.08758,1.08890,1.08342,1.08416,569481.7037999999
14.02.2020 00:00:00.000,1.08417,1.08614,1.08275,1.08331,603773.2766
15.02.2020 00:00:00.000,1.08331,1.08331,1.08331,1.08331,0
16.02.2020 00:00:00.000,1.08428,1.08428,1.08364,1.08415,3202.5101
17.02.2020 00:00:00.000,1.08414,1.08511,1.08293,1.08370,138219.1392
18.02.2020 00:00:00.000,1.08370,1.08374,1.07856,1.07951,170075.05990000002
19.02.2020 00:00:00.000,1.07950,1.08119,1.07824,1.08100,106986.3494
20.02.2020 00:00:00.000,1.08100,1.08214,1.07782,1.07879,135583.4801
21.02.2020 00:00:00.000,1.07880,1.08637,1.07874,1.08482,140353.7339
22.02.2020 00:00:00.000,1.08482,1.08482,1.08482,1.08482,0
23.02.2020 00:00:00.000,1.08163,1.08422,1.08146,1.08389,7573.7495
24.02.2020 00:00:00.000,1.08389,1.08722,1.08054,1.08488,170836.92440000002
25.02.2020 00:00:00.000,1.08487,1.08905,1.08302,1.08800,176576.31220000001
26.02.2020 00:00:00.000,1.08798,1.09091,1.08551,1.08867,190425.4073
27.02.2020 00:00:00.000,1.08867,1.10066,1.08851,1.09967,217564.66859999995
28.02.2020 00:00:00.000,1.09967,1.10532,1.09512,1.10289,243630.19740000006
29.02.2020 00:00:00.000,1.10289,1.10289,1.10289,1.10289,0
01.03.2020 00:00:00.000,1.10482,1.10741,1.10403,1.10520,7264.060000000001
02.03.2020 00:00:00.000,1.10520,1.11848,1.10365,1.11447,243510.96500000017
03.03.2020 00:00:00.000,1.11446,1.12141,1.10956,1.11767,220115.00410000008
04.03.2020 00:00:00.000,1.11768,1.11877,1.10958,1.11386,168082.45790000024
05.03.2020 00:00:00.000,1.11386,1.12450,1.11198,1.12228,432839.6244000002
06.03.2020 00:00:00.000,1.12229,1.13549,1.12115,1.12867,234785.56099999987
07.03.2020 00:00:00.000,1.12867,1.12867,1.12867,1.12867,0
08.03.2020 00:00:00.000,1.13538,1.13967,1.13361,1.13881,18681.162100000005
09.03.2020 00:00:00.000,1.13880,1.14961,1.13564,1.13997,290451.16780000046
10.03.2020 00:00:00.000,1.13996,1.14260,1.12752,1.13143,250438.9865999998
11.03.2020 00:00:00.000,1.13144,1.13669,1.12510,1.12617,191937.23670000033
12.03.2020 00:00:00.000,1.12617,1.13338,1.10551,1.11831,257404.48749999987
13.03.2020 00:00:00.000,1.11831,1.12218,1.10553,1.11004,239999.2300000002
14.03.2020 00:00:00.000,1.11004,1.11004,1.11004,1.11004,0
15.03.2020 00:00:00.000,1.10779,1.12005,1.10779,1.11586,49214.284900000006
16.03.2020 00:00:00.000,1.11585,1.12368,1.10853,1.11641,276842.56750000006
17.03.2020 00:00:00.000,1.11640,1.11896,1.09553,1.10170,268465.8494000002
18.03.2020 00:00:00.000,1.10171,1.10452,1.08022,1.09444,287825.23360000073
19.03.2020 00:00:00.000,1.09451,1.09501,1.06551,1.06552,293148.01989999966
20.03.2020 00:00:00.000,1.06552,1.08314,1.06377,1.07018,410066.68400000053
21.03.2020 00:00:00.000,1.07018,1.07018,1.07018,1.07018,0
22.03.2020 00:00:00.000,1.07144,1.07162,1.06364,1.06896,29465.7383
23.03.2020 00:00:00.000,1.06896,1.08284,1.06588,1.07641,416087.1197999999
24.03.2020 00:00:00.000,1.07636,1.08883,1.07462,1.07987,342807.9300999998
25.03.2020 00:00:00.000,1.07987,1.08940,1.07607,1.08889,279906.795
26.03.2020 00:00:00.000,1.08889,1.10591,1.08750,1.10482,277547.55000000005
27.03.2020 00:00:00.000,1.10483,1.11479,1.09536,1.11457,246771.25359999973
28.03.2020 00:00:00.000,1.11457,1.11457,1.11457,1.11457,0
29.03.2020 00:00:00.000,1.11249,1.11443,1.11058,1.11371,7509.251299999999
30.03.2020 00:00:00.000,1.11369,1.11388,1.10103,1.10297,188934.11969999995
31.03.2020 00:00:00.000,1.10297,1.10433,1.09838,1.10020,0.03330833999999893